name,site_type,link,unique_id,gallery_url,picture_url
Minaret and Archaeological Remains of Jam,cultural_danger,https://whc.unesco.org/en/list/211,211,https://whc.unesco.org/en/list/211/gallery,https://whc.unesco.org/uploads/thumbs/site_0211_0008-1200-630-20240126154919.jpg
Cultural Landscape and Archaeological Remains of the Bamiyan Valley,cultural_danger,https://whc.unesco.org/en/list/208,208,https://whc.unesco.org/en/list/208/gallery,https://whc.unesco.org/uploads/thumbs/site_0208_0002-1200-630-20170802154248.jpg
Natural and Cultural Heritage of the Ohrid region,mixed,https://whc.unesco.org/en/list/99,99,https://whc.unesco.org/en/list/99/gallery,https://whc.unesco.org/uploads/thumbs/site_0099_0001-1200-630-20251023153858.jpg
Butrint,cultural,https://whc.unesco.org/en/list/570,570,https://whc.unesco.org/en/list/570/gallery,https://whc.unesco.org/uploads/thumbs/site_0570_0005-1200-630-20151104150902.jpg
Historic Centres of Berat and Gjirokastra,cultural,https://whc.unesco.org/en/list/569,569,https://whc.unesco.org/en/list/569/gallery,https://whc.unesco.org/uploads/thumbs/site_0569_0006-1200-630-20151104150928.jpg
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,natural,https://whc.unesco.org/en/list/1133,1133,https://whc.unesco.org/en/list/1133/gallery,https://whc.unesco.org/uploads/thumbs/site_1133_0076-1200-630-20251103122935.jpg
Al Qal'a of Beni Hammad,cultural,https://whc.unesco.org/en/list/102,102,https://whc.unesco.org/en/list/102/gallery,https://whc.unesco.org/uploads/thumbs/site_0102_0001-1200-630-20130925184001.jpg
Djémila,cultural,https://whc.unesco.org/en/list/191,191,https://whc.unesco.org/en/list/191/gallery,https://whc.unesco.org/uploads/thumbs/site_0191_0001-1200-630-20090923174604.jpg
M'Zab Valley,cultural,https://whc.unesco.org/en/list/188,188,https://whc.unesco.org/en/list/188/gallery,https://whc.unesco.org/uploads/thumbs/site_0188_0001-1200-630-20180730112538.jpg
Tassili n'Ajjer,mixed,https://whc.unesco.org/en/list/179,179,https://whc.unesco.org/en/list/179/gallery,https://whc.unesco.org/uploads/thumbs/site_0179_0001-1200-630-20090910111123.jpg
Timgad,cultural,https://whc.unesco.org/en/list/194,194,https://whc.unesco.org/en/list/194/gallery,https://whc.unesco.org/uploads/thumbs/site_0194_0001-1200-630-20100108152533.jpg
Tipasa,cultural,https://whc.unesco.org/en/list/193,193,https://whc.unesco.org/en/list/193/gallery,https://whc.unesco.org/uploads/thumbs/site_0193_0001-1200-630-20180730112259.jpg
Kasbah of Algiers,cultural,https://whc.unesco.org/en/list/565,565,https://whc.unesco.org/en/list/565/gallery,https://whc.unesco.org/uploads/thumbs/site_0565_0015-1200-630-20260129170718.jpg
Madriu-Perafita-Claror Valley,cultural,https://whc.unesco.org/en/list/1160,1160,https://whc.unesco.org/en/list/1160/gallery,https://whc.unesco.org/uploads/thumbs/site_1160_0016-1200-630-20140822171056.jpg
"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",cultural,https://whc.unesco.org/en/list/1511,1511,https://whc.unesco.org/en/list/1511/gallery,https://whc.unesco.org/uploads/thumbs/site_1511_0011-1200-630-20170904150559.jpg
Antigua Naval Dockyard and Related Archaeological Sites,cultural,https://whc.unesco.org/en/list/1499,1499,https://whc.unesco.org/en/list/1499/gallery,https://whc.unesco.org/uploads/thumbs/site_1499_0004-1200-630-20160610105352.jpg
Los Glaciares National Park,natural,https://whc.unesco.org/en/list/145,145,https://whc.unesco.org/en/list/145/gallery,https://whc.unesco.org/uploads/thumbs/site_0145_0013-1200-630-20151104151127.jpg
"Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil)",cultural,https://whc.unesco.org/en/list/275,275,https://whc.unesco.org/en/list/275/gallery,https://whc.unesco.org/uploads/thumbs/site_0275_0002-1200-630-20120730182151.jpg
Iguazu National Park,natural,https://whc.unesco.org/en/list/303,303,https://whc.unesco.org/en/list/303/gallery,https://whc.unesco.org/uploads/thumbs/site_0303_0010-1200-630-20151104151051.jpg
"Cueva de las Manos, Río Pinturas",cultural,https://whc.unesco.org/en/list/936,936,https://whc.unesco.org/en/list/936/gallery,https://whc.unesco.org/uploads/thumbs/site_0936_0009-1200-630-20241024124952.jpg
Península Valdés,natural,https://whc.unesco.org/en/list/937,937,https://whc.unesco.org/en/list/937/gallery,https://whc.unesco.org/uploads/thumbs/site_0937_0001-1200-630-20151111155818.jpg
Ischigualasto / Talampaya Natural Parks,natural,https://whc.unesco.org/en/list/966,966,https://whc.unesco.org/en/list/966/gallery,https://whc.unesco.org/uploads/thumbs/site_0966_0011-1200-630-20130206172445.jpg
