name,link,site_type
Minaret and Archaeological Remains of Jam,https://whc.unesco.org/en/list/211,cultural_danger
Cultural Landscape and Archaeological Remains of the Bamiyan Valley,https://whc.unesco.org/en/list/208,cultural_danger
Natural and Cultural Heritage of the Ohrid region,https://whc.unesco.org/en/list/99,mixed
Butrint,https://whc.unesco.org/en/list/570,cultural
Historic Centres of Berat and Gjirokastra,https://whc.unesco.org/en/list/569,cultural
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,https://whc.unesco.org/en/list/1133,natural
Al Qal'a of Beni Hammad,https://whc.unesco.org/en/list/102,cultural
Djémila,https://whc.unesco.org/en/list/191,cultural
M'Zab Valley,https://whc.unesco.org/en/list/188,cultural
Tassili n'Ajjer,https://whc.unesco.org/en/list/179,mixed
Timgad,https://whc.unesco.org/en/list/194,cultural
Tipasa,https://whc.unesco.org/en/list/193,cultural
Kasbah of Algiers,https://whc.unesco.org/en/list/565,cultural
Madriu-Perafita-Claror Valley,https://whc.unesco.org/en/list/1160,cultural
"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",https://whc.unesco.org/en/list/1511,cultural
Antigua Naval Dockyard and Related Archaeological Sites,https://whc.unesco.org/en/list/1499,cultural
Los Glaciares National Park,https://whc.unesco.org/en/list/145,natural
"Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil)",https://whc.unesco.org/en/list/275,cultural
Iguazu National Park,https://whc.unesco.org/en/list/303,natural
"Cueva de las Manos, Río Pinturas",https://whc.unesco.org/en/list/936,cultural
Península Valdés,https://whc.unesco.org/en/list/937,natural
Ischigualasto / Talampaya Natural Parks,https://whc.unesco.org/en/list/966,natural
Jesuit Block and Estancias of Córdoba,https://whc.unesco.org/en/list/995,cultural
Quebrada de Humahuaca,https://whc.unesco.org/en/list/1116,cultural
"Qhapaq Ñan, Andean Road System",https://whc.unesco.org/en/list/1459,cultural
"The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement",https://whc.unesco.org/en/list/1321,cultural
Los Alerces National Park,https://whc.unesco.org/en/list/1526,natural
"ESMA Museum and Site of Memory – Former Clandestine Centre of Detention, Torture and Extermination",https://whc.unesco.org/en/list/1681,cultural
Monasteries of Haghpat and Sanahin,https://whc.unesco.org/en/list/777,cultural
Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,https://whc.unesco.org/en/list/1011,cultural
Monastery of Geghard and the Upper Azat Valley,https://whc.unesco.org/en/list/960,cultural
Great Barrier Reef,https://whc.unesco.org/en/list/154,natural
Kakadu National Park,https://whc.unesco.org/en/list/147,mixed
Willandra Lakes Region,https://whc.unesco.org/en/list/167,mixed
Lord Howe Island Group,https://whc.unesco.org/en/list/186,natural
Tasmanian Wilderness,https://whc.unesco.org/en/list/181,mixed
Gondwana Rainforests of Australia,https://whc.unesco.org/en/list/368,natural
Uluru-Kata Tjuta National Park,https://whc.unesco.org/en/list/447,mixed
Wet Tropics of Queensland,https://whc.unesco.org/en/list/486,natural
"Shark Bay, Western Australia",https://whc.unesco.org/en/list/578,natural
K’gari,https://whc.unesco.org/en/list/630,natural
Australian Fossil Mammal Sites (Riversleigh / Naracoorte),https://whc.unesco.org/en/list/698,natural
Heard and McDonald Islands,https://whc.unesco.org/en/list/577,natural
Macquarie Island,https://whc.unesco.org/en/list/629,natural
